"Timestamp","1) Rate the below set of images for the quality of Black Hair transformation.","2) Rate the below set of images for the quality of Blonde Hair transformation.","3) Rate the below set of images for the quality of Brown Hair transformation.","4) Rate the below set of images for the quality of Gender transformation.","5) Rate the below set of images for the quality of Age transformation.","6) Select the transformed image (Black Hair).","7) Select the transformed image (Blonde Hair).","8) Select the transformed image (Brown Hair).","9) Select the transformed image (Gender).","10) Select the transformed image (Age)."
"2019/11/04 12:37:27 AM GMT+11","4","4","4","3","4","Option 3","Option 2","Option 1","Option 3","Option 3"
"2019/11/04 1:43:47 AM GMT+11","4","4","4","3","4","Option 3","Option 2","Option 1","Option 3","Option 3"
"2019/11/04 2:23:00 AM GMT+11","5","3","3","2","3","Option 4","Option 4","Option 2","Option 3","Option 2"
"2019/11/04 5:07:37 AM GMT+11","5","3","3","2","3","Option 4","Option 4","Option 2","Option 3","Option 2"
"2019/11/04 6:04:24 AM GMT+11","4","4","5","4","5","Option 1","Option 4","Option 3","Option 4","Option 4"
"2019/11/04 8:11:38 AM GMT+11","4","5","4","1","3","Option 4","Option 3","Option 4","Option 2","Option 4"
"2019/11/04 12:34:19 PM GMT+11","4","5","4","2","2","Option 2","Option 4","Option 4","Option 1","Option 1"
"2019/11/04 2:03:12 PM GMT+11","4","4","4","1","3","Option 3","Option 2","Option 3","Option 2","Option 2"
"2019/11/04 2:08:22 PM GMT+11","5","5","5","4","3","Option 1","Option 3","Option 2","Option 4","Option 2"
"2019/11/04 3:21:28 PM GMT+11","4","5","4","3","4","Option 4","Option 2","Option 1","Option 4","Option 1"
"2019/11/04 3:36:33 PM GMT+11","4","4","4","3","3","Option 1","Option 2","Option 1","Option 1","Option 3"
"2019/11/04 4:05:11 PM GMT+11","4","5","4","3","2","Option 4","Option 1","Option 3","Option 1","Option 4"
"2019/11/04 4:31:20 PM GMT+11","5","4","4","3","3","Option 4","Option 4","Option 3","Option 4","Option 4"
"2019/11/04 5:04:09 PM GMT+11","4","3","4","1","1","Option 4","Option 4","Option 2","Option 2","Option 4"
"2019/11/04 7:48:32 PM GMT+11","4","3","3","4","4","Option 4","Option 4","Option 3","Option 3","Option 3"
"2019/11/04 9:26:07 PM GMT+11","1","1","1","1","2","Option 2","Option 4","Option 2","Option 2","Option 2"
"2019/11/04 10:38:59 PM GMT+11","4","2","3","1","1","Option 2","Option 4","Option 2","Option 4","Option 1"
"2019/11/05 10:11:56 AM GMT+11","4","5","3","5","1","Option 4","Option 2","Option 3","Option 3","Option 3"
"2019/11/05 1:22:04 PM GMT+11","5","4","4","5","4","Option 3","Option 1","Option 1","Option 1","Option 1"
"2019/11/05 5:20:12 PM GMT+11","3","4","5","1","1","Option 1","Option 4","Option 2","Option 4","Option 4"
"2019/11/05 5:21:58 PM GMT+11","5","5","5","2","2","Option 3","Option 2","Option 4","Option 2","Option 3"
"2019/11/05 5:54:57 PM GMT+11","4","3","5","3","2","Option 2","Option 1","Option 2","Option 3","Option 1"
"2019/11/05 8:39:43 PM GMT+11","4","4","4","3","2","Option 2","Option 2","Option 4","Option 3","Option 4"
"2019/11/05 8:51:19 PM GMT+11","5","5","5","5","5","Option 4","Option 2","Option 3","Option 3","Option 3"
"2019/11/05 9:12:56 PM GMT+11","2","5","5","2","2","Option 3","Option 4","Option 3","Option 3","Option 2"
"2019/11/05 9:53:06 PM GMT+11","4","5","4","2","4","Option 4","Option 2","Option 4","Option 1","Option 1"
"2019/11/05 10:48:56 PM GMT+11","2","5","2","4","2","Option 4","Option 3","Option 4","Option 4","Option 3"
"2019/11/05 11:06:09 PM GMT+11","4","4","3","4","2","Option 4","Option 2","Option 1","Option 3","Option 3"
"2019/11/05 11:10:53 PM GMT+11","4","4","4","4","5","Option 4","Option 4","Option 2","Option 1","Option 1"
"2019/11/05 11:34:34 PM GMT+11","3","4","5","1","4","Option 2","Option 2","Option 2","Option 4","Option 1"
"2019/11/05 11:52:28 PM GMT+11","4","4","4","4","4","Option 4","Option 2","Option 1","Option 3","Option 3"
"2019/11/06 12:30:35 AM GMT+11","4","3","2","4","2","Option 4","Option 2","Option 4","Option 1","Option 3"
"2019/11/06 1:18:02 AM GMT+11","4","4","4","5","3","Option 1","Option 3","Option 2","Option 2","Option 1"
"2019/11/06 4:02:51 AM GMT+11","5","1","2","1","4","Option 2","Option 4","Option 2","Option 3","Option 1"
"2019/11/06 4:11:01 AM GMT+11","3","4","5","2","2","Option 2","Option 1","Option 3","Option 3","Option 4"
"2019/11/06 5:10:35 AM GMT+11","5","5","5","4","5","Option 2","Option 3","Option 3","Option 4","Option 1"
"2019/11/07 7:46:19 AM GMT+11","5","5","5","5","5","Option 1","Option 4","Option 3","Option 3","Option 2"
