"Timestamp","1) Rate the below set of transformed images on a scale of 0 to 5.","2) Rate the below set of transformed images on a scale of 0 to 5.","3) Rate the below set of transformed images on a scale of 0 to 5.","4) Rate the below set of transformed images on a scale of 0 to 5.","5) Rate the below set of transformed images on a scale of 0 to 5.","6) Rate the below set of transformed images on a scale of 0 to 5.","7) Rate the below set of transformed images on a scale of 0 to 5.","8) Rate the below set of transformed images on a scale of 0 to 5.","9) Rate the below set of transformed images on a scale of 0 to 5.","10) Rate the below set of transformed images on a scale of 0 to 5.","11) Rate the below set of transformed images on a scale of 0 to 5."
"2019/11/05 12:56:49 PM GMT+11","1","5","2","4","1","4","2","4","2","0","5"
"2019/11/05 12:59:06 PM GMT+11","4","2","0","5","0","2","5","4","3","0","5"
"2019/11/05 12:59:49 PM GMT+11","5","5","0","5","0","0","5","2","2","0","5"
"2019/11/05 1:01:21 PM GMT+11","3","1","0","2","0","0","1","0","0","0","2"
"2019/11/05 1:02:18 PM GMT+11","5","5","5","5","5","5","5","5","5","5","5"
"2019/11/05 1:03:52 PM GMT+11","5","5","5","5","5","5","5","5","5","5","5"
"2019/11/05 1:03:54 PM GMT+11","2","1","0","2","0","0","1","0","2","0","1"
"2019/11/05 1:05:20 PM GMT+11","3","2","0","3","0","1","4","3","3","3","3"
"2019/11/05 1:18:15 PM GMT+11","5","1","0","4","0","1","4","4","4","4","5"
"2019/11/05 1:33:50 PM GMT+11","4","2","0","1","0","1","3","2","3","1","3"
"2019/11/05 2:14:24 PM GMT+11","3","1","2","2","1","2","3","2","2","2","4"
"2019/11/05 4:06:21 PM GMT+11","2","3","1","3","2","2","3","2","3","2","3"
"2019/11/05 5:21:08 PM GMT+11","0","0","0","3","0","0","2","2","0","0","3"
"2019/11/05 5:55:53 PM GMT+11","3","2","1","2","1","2","2","2","2","1","1"
"2019/11/05 7:12:30 PM GMT+11","3","2","1","1","2","2","2","2","2","1","1"
"2019/11/05 8:41:18 PM GMT+11","4","4","1","5","4","5","4","5","5","5","4"
"2019/11/05 8:42:20 PM GMT+11","4","2","5","4","1","3","4","2","2","1","4"
"2019/11/05 8:48:25 PM GMT+11","5","5","4","4","4","5","5","5","5","4","5"
"2019/11/05 11:07:56 PM GMT+11","5","4","3","2","2","4","1","3","2","4","2"
"2019/11/05 11:35:28 PM GMT+11","3","0","0","2","0","1","1","2","1","2","1"
"2019/11/05 11:53:28 PM GMT+11","4","2","0","1","0","1","1","0","1","2","1"
"2019/11/06 1:16:47 AM GMT+11","1","0","3","5","2","0","5","5","5","2","5"
"2019/11/06 5:12:15 AM GMT+11","5","4","4","5","4","5","5","5","5","5","5"
"2019/11/06 4:47:36 PM GMT+11","5","5","4","4","4","5","5","5","5","4","5"
